hts_prefix,metal_type,kind,effective_date,source
73160000,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73170010,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73170020,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73170055,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73170065,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73170075,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73181100,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73181200,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73181300,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73181410,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73181450,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73181520,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73181540,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73181550,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73181560,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73181580,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73181600,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73181900,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73182100,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73182200,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73182300,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73182400,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73182900,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73194020,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73194030,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73194050,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73199010,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73199090,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73201030,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73201060,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73201090,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73202010,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73202050,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73209010,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73209050,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73211110,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73211130,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73211160,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73211200,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73211900,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73218110,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73218150,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73218210,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73218250,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73218900,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73219010,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73219020,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73219040,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73219050,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73219060,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73221900,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73229000,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73231000,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73239300,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73239400,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73239910,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73239930,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73239950,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73239970,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73239990,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73241000,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73242900,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73249000,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73259100,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73259910,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73259950,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73261100,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73261900,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73262000,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73269010,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73269025,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73269035,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73269045,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73269060,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73269086,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
7216910010,steel,derivative,2025-08-18,note_16; FR 2025-15819 inclusions
73071930,steel,derivative,2025-08-18,note_16; FR 2025-15819 inclusions
73071990,steel,derivative,2025-08-18,note_16; FR 2025-15819 inclusions
7601,aluminum,mill,,note_19(b); Proc 9704 (2018)
7604,aluminum,mill,,note_19(b); Proc 9704 (2018)
7605,aluminum,mill,,note_19(b); Proc 9704 (2018)
7606,aluminum,mill,,note_19(b); Proc 9704 (2018)
7607,aluminum,mill,,note_19(b); Proc 9704 (2018)
7608,aluminum,mill,,note_19(b); Proc 9704 (2018)
7609,aluminum,mill,,note_19(b); Proc 9704 (2018)
7616995160,aluminum,mill,,note_19(b); Proc 9704 (2018)
7616995170,aluminum,mill,,note_19(b); Proc 9704 (2018)
76141050,aluminum,derivative,,note_19(a)(iii); Proc 9980 (2020)
76149020,aluminum,derivative,,note_19(a)(iii); Proc 9980 (2020)
76149040,aluminum,derivative,,note_19(a)(iii); Proc 9980 (2020)
76149050,aluminum,derivative,,note_19(a)(iii); Proc 9980 (2020)
76101000,aluminum,derivative,2025-03-12,note_19(j); Proc 10895 Annex I
76109000,aluminum,derivative,2025-03-12,note_19(j); Proc 10895 Annex I
7615102015,aluminum,derivative,2025-03-12,note_19(j); Proc 10895 Annex I
7615102025,aluminum,derivative,2025-03-12,note_19(j); Proc 10895 Annex I
7615103015,aluminum,derivative,2025-03-12,note_19(j); Proc 10895 Annex I
7615103025,aluminum,derivative,2025-03-12,note_19(j); Proc 10895 Annex I
7615105020,aluminum,derivative,2025-03-12,note_19(j); Proc 10895 Annex I
7615105040,aluminum,derivative,2025-03-12,note_19(j); Proc 10895 Annex I
7615107125,aluminum,derivative,2025-03-12,note_19(j); Proc 10895 Annex I
7615107130,aluminum,derivative,2025-03-12,note_19(j); Proc 10895 Annex I
7615107155,aluminum,derivative,2025-03-12,note_19(j); Proc 10895 Annex I
7615107180,aluminum,derivative,2025-03-12,note_19(j); Proc 10895 Annex I
7615109100,aluminum,derivative,2025-03-12,note_19(j); Proc 10895 Annex I
7615200000,aluminum,derivative,2025-03-12,note_19(j); Proc 10895 Annex I
7616109090,aluminum,derivative,2025-03-12,note_19(j); Proc 10895 Annex I
7616991000,aluminum,derivative,2025-03-12,note_19(j); Proc 10895 Annex I
7616995130,aluminum,derivative,2025-03-12,note_19(j); Proc 10895 Annex I
7616995140,aluminum,derivative,2025-03-12,note_19(j); Proc 10895 Annex I
7616995190,aluminum,derivative,2025-03-12,note_19(j); Proc 10895 Annex I
76129010,aluminum,derivative,2025-04-03,note_19(j) addition; chapter99_rev_6
7612100000,aluminum,derivative,2025-08-18,note_19; FR 2025-15819 inclusions
7612905000,aluminum,derivative,2025-08-18,note_19; FR 2025-15819 inclusions
7613000000,aluminum,derivative,2025-08-18,note_19; FR 2025-15819 inclusions
76141010,aluminum,derivative,2025-08-18,note_19; FR 2025-15819 inclusions
