hts_prefix,annex,metal_type,source,effective_date
84099199,2,steel,proclamation,2026-04-06
84099991,2,steel,proclamation,2026-04-06
84099992,2,steel,proclamation,2026-04-06
84099999,2,steel,proclamation,2026-04-06
84241000,2,steel,proclamation,2026-04-06
85015340,2,steel,proclamation,2026-04-06
85030045,2,steel,proclamation,2026-04-06
85030090,2,steel,proclamation,2026-04-06
8703,2,steel,proclamation,2026-04-06
8704,2,steel,proclamation,2026-04-06
8705900010,2,steel,proclamation,2026-04-06
8705900020,2,steel,proclamation,2026-04-06
87100000,2,steel,proclamation,2026-04-06
87113000,2,steel,proclamation,2026-04-06
87115000,2,steel,proclamation,2026-04-06
87116000,2,steel,proclamation,2026-04-06
87141000,2,steel,proclamation,2026-04-06
94017100,2,steel,proclamation,2026-04-06
94017900,2,steel,proclamation,2026-04-06
94031000,2,steel,proclamation,2026-04-06
94032000,2,steel,proclamation,2026-04-06
9403200082,2,steel,proclamation,2026-04-06
94039910,2,steel,proclamation,2026-04-06
9403999010,2,steel,proclamation,2026-04-06
9403999015,2,steel,proclamation,2026-04-06
9403999040,2,steel,proclamation,2026-04-06
9403999045,2,steel,proclamation,2026-04-06
9403999051,2,steel,proclamation,2026-04-06
9403999061,2,steel,proclamation,2026-04-06
94059920,2,steel,proclamation,2026-04-06
94059940,2,steel,proclamation,2026-04-06
95069100,2,steel,proclamation,2026-04-06
847989,3,aluminum,proclamation,2026-04-06
8479899599,3,aluminum,us_note_16,2026-04-06
847990,3,aluminum,proclamation,2026-04-06
8479909596,3,aluminum,us_note_16,2026-04-06
85043400,3,aluminum,proclamation,2026-04-06
85049020,3,aluminum,proclamation,2026-04-06
85049065,3,aluminum,proclamation,2026-04-06
85049075,3,aluminum,proclamation,2026-04-06
8504909610,3,aluminum,us_note_16,2026-04-06
8504909630,3,aluminum,us_note_16,2026-04-06
8504909646,3,aluminum,us_note_16,2026-04-06
8504909650,3,aluminum,us_note_16,2026-04-06
8504909690,3,aluminum,us_note_16,2026-04-06
90139080,3,aluminum,proclamation,2026-04-06
820720,3,steel,proclamation,2026-04-06
8207200070,3,steel,us_note_16,2026-04-06
820730,3,steel,proclamation,2026-04-06
8207306062,3,steel,us_note_16,2026-04-06
8207306095,3,steel,us_note_16,2026-04-06
84014000,3,steel,proclamation,2026-04-06
84179000,3,steel,proclamation,2026-04-06
84212900,3,steel,proclamation,2026-04-06
84248990,3,steel,proclamation,2026-04-06
84283200,3,steel,proclamation,2026-04-06
84283300,3,steel,proclamation,2026-04-06
84283900,3,steel,proclamation,2026-04-06
84286000,3,steel,proclamation,2026-04-06
84287000,3,steel,proclamation,2026-04-06
84289003,3,steel,proclamation,2026-04-06
84313900,3,steel,proclamation,2026-04-06
84314100,3,steel,proclamation,2026-04-06
845420,3,steel,proclamation,2026-04-06
8454200010,3,steel,us_note_16,2026-04-06
8454200060,3,steel,us_note_16,2026-04-06
84553000,3,steel,proclamation,2026-04-06
84559040,3,steel,proclamation,2026-04-06
84559080,3,steel,proclamation,2026-04-06
84571000,3,steel,proclamation,2026-04-06
84749000,3,steel,proclamation,2026-04-06
84771030,3,steel,proclamation,2026-04-06
84771040,3,steel,proclamation,2026-04-06
84771090,3,steel,proclamation,2026-04-06
847790,3,steel,proclamation,2026-04-06
84779025,3,steel,proclamation,2026-04-06
8477908601,3,steel,us_note_16,2026-04-06
84799095,3,steel,proclamation,2026-04-06
848049,3,steel,proclamation,2026-04-06
8480490010,3,steel,us_note_16,2026-04-06
848071,3,steel,proclamation,2026-04-06
8480718045,3,steel,us_note_16,2026-04-06
8480718060,3,steel,us_note_16,2026-04-06
848079,3,steel,proclamation,2026-04-06
8480799010,3,steel,us_note_16,2026-04-06
84836080,3,steel,proclamation,2026-04-06
84839020,3,steel,proclamation,2026-04-06
85042300,3,steel,proclamation,2026-04-06
84271040,1c,steel,proclamation_11032_annex_1c,2026-06-08
84271080,1c,steel,proclamation_11032_annex_1c,2026-06-08
84272040,1c,steel,proclamation_11032_annex_1c,2026-06-08
84272080,1c,steel,proclamation_11032_annex_1c,2026-06-08
84279000,1c,steel,proclamation_11032_annex_1c,2026-06-08
84291100,1c,steel,proclamation_11032_annex_1c,2026-06-08
84291900,1c,steel,proclamation_11032_annex_1c,2026-06-08
84292000,1c,steel,proclamation_11032_annex_1c,2026-06-08
84293000,1c,steel,proclamation_11032_annex_1c,2026-06-08
84294000,1c,steel,proclamation_11032_annex_1c,2026-06-08
84295110,1c,steel,proclamation_11032_annex_1c,2026-06-08
84295150,1c,steel,proclamation_11032_annex_1c,2026-06-08
84295210,1c,steel,proclamation_11032_annex_1c,2026-06-08
84295250,1c,steel,proclamation_11032_annex_1c,2026-06-08
84295910,1c,steel,proclamation_11032_annex_1c,2026-06-08
84295950,1c,steel,proclamation_11032_annex_1c,2026-06-08
84312000,1c,steel,proclamation_11032_annex_1c,2026-06-08
84314200,1c,steel,proclamation_11032_annex_1c,2026-06-08
84314990,1c,steel,proclamation_11032_annex_1c,2026-06-08
87011001,1c,steel,proclamation_11032_annex_1c,2026-06-08
87013050,1c,steel,proclamation_11032_annex_1c,2026-06-08
87019150,1c,steel,proclamation_11032_annex_1c,2026-06-08
87019250,1c,steel,proclamation_11032_annex_1c,2026-06-08
87019350,1c,steel,proclamation_11032_annex_1c,2026-06-08
87019450,1c,steel,proclamation_11032_annex_1c,2026-06-08
87019550,1c,steel,proclamation_11032_annex_1c,2026-06-08
87051000,1c,steel,proclamation_11032_annex_1c,2026-06-08
87052000,1c,steel,proclamation_11032_annex_1c,2026-06-08
37013000,1b,aluminum,proclamation_11032_annex_iv,2026-06-08
3701300000,1b,aluminum,proclamation_11032_annex_iv,2026-06-08
9403200075,1b,steel,proclamation_11032_annex_iv,2026-06-08
9403200082,1b,steel,proclamation_11032_annex_iv,2026-06-08
9403999040,1b,steel,proclamation_11032_annex_iv,2026-06-08
87082921,2,steel,proclamation_11032_annex_iv,2026-06-08
8708292120,3,steel,proclamation_11032_annex_iii,2026-06-08
84079010,3,steel,proclamation_11032_annex_iii,2026-06-08
84151060,3,steel,proclamation_11032_annex_iii,2026-06-08
84151090,3,steel,proclamation_11032_annex_iii,2026-06-08
84158101,3,steel,proclamation_11032_annex_iii,2026-06-08
84158201,3,steel,proclamation_11032_annex_iii,2026-06-08
84159080,3,steel,proclamation_11032_annex_iii,2026-06-08
84198150,3,steel,proclamation_11032_annex_iii,2026-06-08
84321000,3,steel,proclamation_11032_annex_iii,2026-06-08
84329000,3,steel,proclamation_11032_annex_iii,2026-06-08
84332000,3,steel,proclamation_11032_annex_iii,2026-06-08
84335100,3,steel,proclamation_11032_annex_iii,2026-06-08
84335900,3,steel,proclamation_11032_annex_iii,2026-06-08
84339050,3,steel,proclamation_11032_annex_iii,2026-06-08
84798955,3,steel,proclamation_11032_annex_iii,2026-06-08
84798965,3,steel,proclamation_11032_annex_iii,2026-06-08
85162900,3,steel,proclamation_11032_annex_iii,2026-06-08
87013010,3,steel,proclamation_11032_annex_iii,2026-06-08
87019110,3,steel,proclamation_11032_annex_iii,2026-06-08
87019210,3,steel,proclamation_11032_annex_iii,2026-06-08
87019310,3,steel,proclamation_11032_annex_iii,2026-06-08
87019410,3,steel,proclamation_11032_annex_iii,2026-06-08
87019510,3,steel,proclamation_11032_annex_iii,2026-06-08
87032101,3,steel,proclamation_11032_annex_iii,2026-06-08
87060030,3,steel,proclamation_11032_annex_iii,2026-06-08
87084030,3,steel,proclamation_11032_annex_iii,2026-06-08
87084060,3,steel,proclamation_11032_annex_iii,2026-06-08
87089210,3,steel,proclamation_11032_annex_iii,2026-06-08
87089260,3,steel,proclamation_11032_annex_iii,2026-06-08
87089315,3,steel,proclamation_11032_annex_iii,2026-06-08
87089330,3,steel,proclamation_11032_annex_iii,2026-06-08
87089923,3,steel,proclamation_11032_annex_iii,2026-06-08
87168010,3,steel,proclamation_11032_annex_iii,2026-06-08
87169010,3,steel,proclamation_11032_annex_iii,2026-06-08
8415908010,3,aluminum,proclamation_11032_annex_iii,2026-06-08
8415908020,3,aluminum,proclamation_11032_annex_iii,2026-06-08
8415908045,3,aluminum,proclamation_11032_annex_iii,2026-06-08
8415908085,3,aluminum,proclamation_11032_annex_iii,2026-06-08
8708292130,3,aluminum,proclamation_11032_annex_iii,2026-06-08
