prefix,first_revision,last_revision,first_effective_date,removed_at,end_effective_date
08119010,rev_29,2026_rev_9,2025-11-13,NA,NA
08119025,rev_29,2026_rev_9,2025-11-13,NA,NA
08119030,rev_29,2026_rev_9,2025-11-13,NA,NA
08119040,rev_29,2026_rev_9,2025-11-13,NA,NA
08119050,rev_29,2026_rev_9,2025-11-13,NA,NA
08119052,rev_29,2026_rev_9,2025-11-13,NA,NA
08129040,rev_29,2026_rev_9,2025-11-13,NA,NA
09011100,rev_29,2026_rev_9,2025-11-13,NA,NA
09011200,rev_29,2026_rev_9,2025-11-13,NA,NA
09012100,rev_29,2026_rev_9,2025-11-13,NA,NA
09012200,rev_29,2026_rev_9,2025-11-13,NA,NA
09019010,rev_29,2026_rev_9,2025-11-13,NA,NA
09019020,rev_29,2026_rev_9,2025-11-13,NA,NA
09021010,rev_29,2026_rev_9,2025-11-13,NA,NA
09021090,rev_29,2026_rev_9,2025-11-13,NA,NA
09022010,rev_29,2026_rev_9,2025-11-13,NA,NA
09022090,rev_29,2026_rev_9,2025-11-13,NA,NA
09023000,rev_29,2026_rev_9,2025-11-13,NA,NA
09024000,rev_29,2026_rev_9,2025-11-13,NA,NA
09030000,rev_29,2026_rev_9,2025-11-13,NA,NA
09041100,rev_29,2026_rev_9,2025-11-13,NA,NA
09041200,rev_29,2026_rev_9,2025-11-13,NA,NA
09042120,rev_29,2026_rev_9,2025-11-13,NA,NA
09042140,rev_29,2026_rev_9,2025-11-13,NA,NA
09042160,rev_29,2026_rev_9,2025-11-13,NA,NA
09042180,rev_29,2026_rev_9,2025-11-13,NA,NA
09042220,rev_29,2026_rev_9,2025-11-13,NA,NA
09042240,rev_29,2026_rev_9,2025-11-13,NA,NA
09042273,rev_29,2026_rev_9,2025-11-13,NA,NA
09042276,rev_29,2026_rev_9,2025-11-13,NA,NA
09042280,rev_29,2026_rev_9,2025-11-13,NA,NA
09051000,rev_29,2026_rev_9,2025-11-13,NA,NA
09052000,rev_29,2026_rev_9,2025-11-13,NA,NA
09061100,rev_29,2026_rev_9,2025-11-13,NA,NA
09061900,rev_29,2026_rev_9,2025-11-13,NA,NA
09062000,rev_29,2026_rev_9,2025-11-13,NA,NA
09071000,rev_29,2026_rev_9,2025-11-13,NA,NA
09072000,rev_29,2026_rev_9,2025-11-13,NA,NA
09081100,rev_29,2026_rev_9,2025-11-13,NA,NA
09081200,rev_29,2026_rev_9,2025-11-13,NA,NA
09082100,rev_29,2026_rev_9,2025-11-13,NA,NA
09082220,rev_29,2026_rev_9,2025-11-13,NA,NA
09082240,rev_29,2026_rev_9,2025-11-13,NA,NA
09083100,rev_29,2026_rev_9,2025-11-13,NA,NA
09083200,rev_29,2026_rev_9,2025-11-13,NA,NA
09092100,rev_29,2026_rev_9,2025-11-13,NA,NA
09092200,rev_29,2026_rev_9,2025-11-13,NA,NA
09093100,rev_29,2026_rev_9,2025-11-13,NA,NA
09093200,rev_29,2026_rev_9,2025-11-13,NA,NA
09096100,rev_29,2026_rev_9,2025-11-13,NA,NA
09096200,rev_29,2026_rev_9,2025-11-13,NA,NA
09101100,rev_29,2026_rev_9,2025-11-13,NA,NA
09101200,rev_29,2026_rev_9,2025-11-13,NA,NA
09102000,rev_29,2026_rev_9,2025-11-13,NA,NA
09103000,rev_29,2026_rev_9,2025-11-13,NA,NA
09109100,rev_29,2026_rev_9,2025-11-13,NA,NA
09109907,rev_29,2026_rev_9,2025-11-13,NA,NA
09109910,rev_29,2026_rev_9,2025-11-13,NA,NA
09109920,rev_29,2026_rev_9,2025-11-13,NA,NA
09109940,rev_29,2026_rev_9,2025-11-13,NA,NA
09109950,rev_29,2026_rev_9,2025-11-13,NA,NA
09109960,rev_29,2026_rev_9,2025-11-13,NA,NA
10039040,rev_29,2026_rev_9,2025-11-13,NA,NA
10083000,rev_29,2026_rev_9,2025-11-13,NA,NA
