hts8,category,country_group,ch99_code,effective_date_start
26140060,ptaap,eu,9903.02.74,2025-09-25
26140060,ptaap,swiss,9903.02.84,2026-01-01
26159030,ptaap,eu,9903.02.74,2025-09-25
26159030,ptaap,swiss,9903.02.84,2026-01-01
26159060,ptaap,eu,9903.02.74,2025-09-25
26159060,ptaap,swiss,9903.02.84,2026-01-01
26161000,ptaap,eu,9903.02.74,2025-09-25
26161000,ptaap,swiss,9903.02.84,2026-01-01
26171000,ptaap,eu,9903.02.74,2025-09-25
26171000,ptaap,swiss,9903.02.84,2026-01-01
26209950,ptaap,eu,9903.02.74,2025-09-25
26209950,ptaap,swiss,9903.02.84,2026-01-01
28012000,ptaap,eu,9903.02.74,2025-09-25
28012000,ptaap,swiss,9903.02.84,2026-01-01
28041000,pharma,eu,9903.02.77,2025-09-25
28041000,pharma,swiss,9903.02.86,2026-01-01
28042900,pharma,eu,9903.02.77,2025-09-25
28042900,pharma,swiss,9903.02.86,2026-01-01
28043000,pharma,eu,9903.02.77,2025-09-25
28043000,pharma,swiss,9903.02.86,2026-01-01
28045000,pharma,eu,9903.02.77,2025-09-25
28045000,pharma,swiss,9903.02.86,2026-01-01
28048000,ptaap,eu,9903.02.74,2025-09-25
28048000,ptaap,swiss,9903.02.84,2026-01-01
28049000,ptaap,eu,9903.02.74,2025-09-25
28049000,ptaap,swiss,9903.02.84,2026-01-01
28051910,ptaap,eu,9903.02.74,2025-09-25
28051910,ptaap,swiss,9903.02.84,2026-01-01
28051920,pharma,eu,9903.02.77,2025-09-25
28051920,pharma,swiss,9903.02.86,2026-01-01
28051990,ptaap,eu,9903.02.74,2025-09-25
28051990,ptaap,swiss,9903.02.84,2026-01-01
28053000,ptaap,eu,9903.02.74,2025-09-25
28053000,ptaap,swiss,9903.02.84,2026-01-01
28061000,pharma,eu,9903.02.77,2025-09-25
28061000,pharma,swiss,9903.02.86,2026-01-01
28070000,pharma,eu,9903.02.77,2025-09-25
28070000,pharma,swiss,9903.02.86,2026-01-01
28092000,pharma,eu,9903.02.77,2025-09-25
28092000,pharma,swiss,9903.02.86,2026-01-01
28111100,ptaap,eu,9903.02.74,2025-09-25
28111100,ptaap,swiss,9903.02.84,2026-01-01
28111200,pharma,eu,9903.02.77,2025-09-25
28111200,pharma,swiss,9903.02.86,2026-01-01
28111910,ptaap,eu,9903.02.74,2025-09-25
28111910,ptaap,swiss,9903.02.84,2026-01-01
28112250,pharma,eu,9903.02.77,2025-09-25
28112250,pharma,swiss,9903.02.86,2026-01-01
28112910,ptaap,eu,9903.02.74,2025-09-25
28112910,ptaap,swiss,9903.02.84,2026-01-01
28112920,ptaap,eu,9903.02.74,2025-09-25
28112920,ptaap,swiss,9903.02.84,2026-01-01
28121200,pharma,eu,9903.02.77,2025-09-25
28121200,pharma,swiss,9903.02.86,2026-01-01
28121900,pharma,eu,9903.02.77,2025-09-25
28121900,pharma,swiss,9903.02.86,2026-01-01
28139010,ptaap,eu,9903.02.74,2025-09-25
28139010,ptaap,swiss,9903.02.84,2026-01-01
28141000,pharma,eu,9903.02.77,2025-09-25
28141000,pharma,swiss,9903.02.86,2026-01-01
28142000,pharma,eu,9903.02.77,2025-09-25
28142000,pharma,swiss,9903.02.86,2026-01-01
