hts10,effective_date_start,effective_date_end
0804506055,2025-11-13,NA
0804506065,2025-11-13,NA
0804506075,2025-11-13,NA
0804508000,2025-11-13,NA
0804508010,2025-11-13,NA
0804508020,2025-11-13,NA
0804508040,2025-11-13,NA
0804508090,2025-11-13,NA
0805100000,2025-11-13,NA
0805100020,2025-11-13,NA
0805100050,2025-11-13,NA
0805100060,2025-11-13,NA
0805503000,2025-11-13,NA
0805503020,2025-11-13,NA
0805503040,2025-11-13,NA
0805504000,2025-11-13,NA
0805900100,NA,NA
0807200000,2025-11-13,NA
0808402000,2025-11-13,NA
0808402015,2025-11-13,NA
0808402025,2025-11-13,NA
0808404000,2025-11-13,NA
0808404015,2025-11-13,NA
0808404025,2025-11-13,NA
0810500000,2025-11-13,NA
0810500010,2025-11-13,NA
0810500090,2025-11-13,NA
0810600000,2025-11-13,NA
0810902700,2025-11-13,NA
0810902730,2025-11-13,NA
0810902760,2025-11-13,NA
0810904600,2025-11-13,NA
0810904620,2025-11-13,NA
0810904630,2025-11-13,NA
0810904640,2025-11-13,NA
0810904650,2025-11-13,NA
0810904660,2025-11-13,NA
0810904670,2025-11-13,NA
0810904675,2025-11-13,NA
0810904680,2025-11-13,NA
0811901000,2025-11-13,NA
0811902500,2025-11-13,NA
0811903000,2025-11-13,NA
0811904000,2025-11-13,NA
0811905000,2025-11-13,NA
0811905010,2025-11-13,NA
0811905090,2025-11-13,NA
0811905200,2025-11-13,NA
0811905210,2025-11-13,NA
0811905290,2025-11-13,NA
0811908000,NA,NA
0811908040,NA,NA
0811908060,NA,NA
0811908085,NA,NA
0811908090,NA,NA
0811908097,NA,NA
0812904000,2025-11-13,NA
0901110000,2025-11-13,NA
0901110015,2025-11-13,NA
0901110025,2025-11-13,NA
0901110035,2025-11-13,NA
0901110040,2025-11-13,NA
0901110050,2025-11-13,NA
0901110065,2025-11-13,NA
0901120000,2025-11-13,NA
0901120020,2025-11-13,NA
0901120035,2025-11-13,NA
0901120040,2025-11-13,NA
0901120055,2025-11-13,NA
0901120060,2025-11-13,NA
0901120075,2025-11-13,NA
0901210000,2025-11-13,NA
0901210015,2025-11-13,NA
0901210020,2025-11-13,NA
0901210025,2025-11-13,NA
0901210029,2025-11-13,NA
0901210040,2025-11-13,NA
0901210049,2025-11-13,NA
0901210055,2025-11-13,NA
0901210065,2025-11-13,NA
0901220000,2025-11-13,NA
0901220035,2025-11-13,NA
0901220040,2025-11-13,NA
0901220050,2025-11-13,NA
0901220055,2025-11-13,NA
0901220065,2025-11-13,NA
0901220070,2025-11-13,NA
0901220075,2025-11-13,NA
0901220080,2025-11-13,NA
0901220090,2025-11-13,NA
0901901000,2025-11-13,NA
0901902000,2025-11-13,NA
0902101000,2025-11-13,NA
0902101015,2025-11-13,NA
0902101050,2025-11-13,NA
0902109000,2025-11-13,NA
0902109015,2025-11-13,NA
0902109050,2025-11-13,NA
0902201000,2025-11-13,NA
0902209000,2025-11-13,NA
0902209015,2025-11-13,NA
0902209050,2025-11-13,NA
