hts10,coverage_share,n_months,imports_usd,source
3906905000,0.04927362878768367,6,19007716,calibration_2026-06-11_stable_window_2025-09_2026-03
8529901300,0.32196290344160966,7,18242975,calibration_2026-06-11_stable_window_2025-09_2026-03
8543709100,0,6,18236169,calibration_2026-06-11_stable_window_2025-09_2026-03
8501104020,0.8607040127964655,6,18212874,calibration_2026-06-11_stable_window_2025-09_2026-03
9027102000,0.4475353216972131,6,17834074,calibration_2026-06-11_stable_window_2025-09_2026-03
9004900010,0.6262196445718271,7,17120343,calibration_2026-06-11_stable_window_2025-09_2026-03
3815190000,0.2272624701838872,6,17111114,calibration_2026-06-11_stable_window_2025-09_2026-03
8421390190,0,6,17066203,calibration_2026-06-11_stable_window_2025-09_2026-03
9018199530,0.8944775096376637,6,16958825,calibration_2026-06-11_stable_window_2025-09_2026-03
7016100000,0.31886573092081333,6,16526903,calibration_2026-06-11_stable_window_2025-09_2026-03
9401919090,0.523537756314146,6,15795312,calibration_2026-06-11_stable_window_2025-09_2026-03
8501514040,0.7376858379073716,6,15584949,calibration_2026-06-11_stable_window_2025-09_2026-03
8708407570,0.35369319958472323,6,15462198,calibration_2026-06-11_stable_window_2025-09_2026-03
3920620090,0.3698694427915831,6,14269867,calibration_2026-06-11_stable_window_2025-09_2026-03
6111206070,0.5459180545296911,7,13257818,calibration_2026-06-11_stable_window_2025-09_2026-03
5504100000,0.8869582593121563,7,12812353,calibration_2026-06-11_stable_window_2025-09_2026-03
9401790035,0,6,12697725,calibration_2026-06-11_stable_window_2025-09_2026-03
7009100000,0.2907273504225894,6,12412622,calibration_2026-06-11_stable_window_2025-09_2026-03
3919102055,0.1514967570131884,6,12187567,calibration_2026-06-11_stable_window_2025-09_2026-03
9032100030,0.01093612037641897,6,12085108,calibration_2026-06-11_stable_window_2025-09_2026-03
8414308060,0,6,11558218,calibration_2026-06-11_stable_window_2025-09_2026-03
8481909020,0.380307403591054,6,11135812,calibration_2026-06-11_stable_window_2025-09_2026-03
6802990090,0.3799139416498365,6,10790990,calibration_2026-06-11_stable_window_2025-09_2026-03
9404901090,0.575054011505072,7,10674028,calibration_2026-06-11_stable_window_2025-09_2026-03
5603920070,0.7721301825595535,6,10539071,calibration_2026-06-11_stable_window_2025-09_2026-03
