ch99_code,hts10,n_months,imports_usd,realized_vw,stat_other_vw,full_301_vw,claim_share_raw_vw,claim_share
9903.88.69,3926909989,7,1217099492,0.3199539951825072,0.16915284145367063,0.15,-0.005341024858910804,0
9903.88.69,8473305100,6,770959985,0.21562862695137155,0.10929852685040545,0.25,0.5746795995961356,0.5746795995961356
9903.88.69,6307909891,7,707456467,0.335113452288224,0.28201349993522107,0.5,0.8938000952939941,0.8938000952939941
9903.88.69,8544422000,6,596184561,0.5425261641419795,0.39899136293160437,0.25,0.42586079515849945,0.42586079515849945
9903.88.69,7326908688,6,486389101,0.7599638463115973,0.6289919106735122,0.25,0.47611225744765945,0.47611225744765945
9903.88.69,8544429090,6,407568358,0.5883525997373917,0.20972417972121607,0.25,-0.5145136800647028,0
9903.88.69,8473301180,6,371101889,0.2057755410671057,0.106190882711485,0.25,0.6016613665775172,0.6016613665775172
9903.88.69,8537109170,6,338317991,0.46141135012828804,0.3589885201115768,0.25,0.590308679933155,0.590308679933155
9903.88.69,8534000020,6,312382123,0.399422434298521,0.1973212533859189,0.25,0.19159527634959173,0.19159527634959173
9903.88.69,8543709860,6,240634904,0.5064361485979607,0.20592109965525648,0.25,-0.20206019577081674,0
9903.88.69,8413919096,6,198605896,0.5152523971393075,0.1394153029163985,0.25,-0.5033483768916359,0
9903.88.69,8431200000,6,192151161,0.3815726099099656,0.2813607103614424,0.25,0.5991524018059071,0.5991524018059071
9903.88.69,9401710031,6,161881171,0.30985420163534644,0.2166006324356601,0.25,0.6269857232012548,0.6269857232012548
9903.88.69,3923500000,6,156245045,0.4951109777593267,0.25026947703479857,0.25,0.020633997101887524,0.020633997101887524
9903.88.69,8479909596,6,151493217,0.6773245101792247,0.18656167845143412,0.25,-0.9630513269111621,0
9903.88.69,3923210095,6,150230562,0.25913843016842336,0.22714526054387565,0.25,0.8720273215018088,0.8720273215018088
9903.88.69,8504409580,6,150033504,0.4426831089674477,0.09418324797576388,0.25,-0.3939994439667352,0
9903.88.69,9401616011,6,141220804,0.47951759997061055,0.34612922337188445,0.25,0.46644649360509577,0.46644649360509577
9903.88.69,8418500080,6,139968599,0.3052120711731922,0.1965243148623234,0.25,0.5652489747565248,0.5652489747565248
9903.88.69,9004900090,7,134250190,0.30634485507990716,0.22406351187688003,0.15,0.45145771197981915,0.45145771197981915
9903.88.69,9401991085,7,131885416,0.2869998453809328,0.2086001164016931,0.15,0.477335140138402,0.477335140138402
9903.88.69,7007190000,6,114009782,0.39549486201105094,0.2332165566117409,0.25,0.3508867784027599,0.3508867784027599
9903.88.69,9018199560,6,110929093,0.4230852135426727,0.1953948252609912,0.25,0.08923844687327391,0.08923844687327391
9903.88.69,8536308000,6,94841335,0.29148118802840556,0.1996139089238333,0.25,0.632530883581711,0.632530883581711
9903.88.69,8421210000,6,92437366,0.3784121455819068,0.09008396706206039,0.25,-0.15331271407938568,0
9903.88.69,8501314000,6,89783417,0.3180663083918938,0.21966246158958394,0.25,0.6063846127907607,0.6063846127907607
9903.88.69,9022906000,6,82281630,0.42415367804454046,0.19294070649270595,0.25,0.07514811379266205,0.07514811379266205
9903.88.69,3401190000,7,80835493,0.22576468977556677,0.2156949092953041,0.15,0.9328681301315824,0.9328681301315824
9903.88.69,3926909910,7,80296406,0.250883420610382,0.16701065470862447,0.15,0.4408482273216167,0.4408482273216167
