country_name,cty_code,total_imports,pdr (Paddy Rice),wht (Wheat),gro (Cereal Grains Nec),"v_f (Vegetables, Fruit, Nuts)",osd (Oil Seeds),"c_b (Sugar Cane, Sugar Beet)",pfb (Plant-Based Fibers),ocr (Crops Nec),"ctl (Bovine Cattle, Sheep And Goats, Horses)",oap (Animal Products Nec),"wol (Wool, Silk-Worm Cocoons)",frs (Forestry),fsh (Fishing),coa (Coal),oil (Oil),gas (Gas),oxt (Other Mining And Extraction),cmt (Bovine Meat Products),omt (Meat Products Nec),vol (Vegetable Oils And Fats),mil (Dairy Products),pcr (Processed Rice),sgr (Sugar),ofd (Food Products Nec),b_t (Beverages And Tobacco Products),tex (Textiles),wap (Wearing Apparel),lea (Leather Products),lum (Wood Products),"ppp (Paper Products, Publishing)","p_c (Petroleum, Coal Products)",chm (Chemical Products),bph (Basic Pharmaceutical Products),rpp (Rubber And Plastic Products),nmm (Mineral Products Nec),i_s (Ferrous Metals),nfm (Metals Nec),fmp (Metal Products),"ele (Computer, Electronic And Optical Products)",eeq (Electrical Equipment),ome (Machinery And Equipment Nec),mvh (Motor Vehicles And Parts),otn (Transport Equipment Nec),omf (Manufactures Nec),ely (Electricity),s232_pharma_imports (131 HS codes)
Togo,7520,89696898,0,0,12442,235358,5385871,0,0,116781,0,2342711,0,0,78078,0,0,0,0,0,0,71636756,0,0,76110,1215653,158276,10186,1651439,9368,2224,0,0,157412,0,22010,0,0,540000,5535,35807,26386,0,29954,0,5948541,0,0
Suriname,3150,86127773,0,0,0,0,0,0,0,0,0,349134,0,0,16505215,0,7500,5000,0,0,0,0,0,0,0,31066961,23542,385,2820,1314,3420635,0,2717083,0,0,376632,0,0,24539255,593259,409351,346387,2883744,2407211,0,472345,0,0
Macao,5660,81603119,0,0,0,207872,0,0,0,3478,0,0,0,0,0,0,0,0,0,0,0,48070,0,0,0,2360412,0,44026,57911249,796251,8161,97163,0,251189,7963601,95712,210262,0,0,588295,426221,2623547,248202,104084,0,7615324,0,314286
Chad,7560,80600190,0,0,0,0,0,0,0,0,0,0,0,3818463,0,0,76437992,0,0,0,0,0,0,0,0,0,0,0,2615,0,0,10000,0,10933,0,249299,0,0,2500,21584,0,0,2883,0,0,43921,0,0
Papua New Guinea,6040,77212317,0,0,0,36400,0,0,0,68473112,0,0,0,0,0,0,0,0,0,0,0,172713,0,0,0,1973603,49614,30492,14625,10294,149204,5400,0,0,0,45154,2935,0,55000,6169,896975,10928,975964,165683,0,4138052,0,0
Belize,2080,73512046,0,0,0,2566142,0,0,0,464055,0,27476,0,13480,1059753,0,0,0,0,0,0,83486,0,0,42458020,17770708,4043916,82869,0,127643,1956440,46450,4225,1022082,6333,22919,213119,0,37800,36499,381318,159319,281509,73063,4500,568922,0,0
Liberia,7650,70945377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7048324,0,0,768524,0,0,0,6413,32711,0,5432,0,9579,121663,2400,0,0,61867690,0,0,628040,10080,255035,19140,36663,3600,5000,125083,0,0
Zimbabwe,7960,65888540,0,0,0,0,0,0,0,4457862,0,121451,0,0,0,0,0,0,590774,0,0,74932,0,0,13834438,1087332,40650377,705,386261,1071895,60829,436318,0,39902,0,10550,134464,258403,0,69974,62488,0,20651,0,1568,2517366,0,0
"Congo, Republic of the Congo",7630,53977784,0,0,0,0,0,0,0,0,0,0,0,0,51924,0,0,0,0,0,0,0,0,0,0,736794,0,23390,0,4306,22440111,9983,14654035,3587,0,5400,0,0,12909682,3226,170829,30171,68970,10284,0,2855092,0,0
British Virgin Islands,2482,52698312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5540,0,112436,1840,0,18318,0,0,0,15888,0,0,42128,0,604695,102326,28750,3381,0,51763010,0,0
Cyprus,4910,51275514,0,0,0,20250,0,0,0,46451,0,9068,0,105600,598433,0,0,0,2089482,0,0,866389,11231383,0,0,3118773,932790,21801,18447,14670,0,304712,54434,492543,731959,704995,17439,0,21774,1006500,20664492,433046,5794786,404397,60187,1510713,0,142285
Benin,7610,45537172,0,0,0,12606597,0,0,0,0,0,63248,0,0,0,0,0,0,0,0,0,29182523,0,0,0,434535,0,1374,2792487,0,124919,4466,0,8606,0,0,0,0,0,6747,4780,3450,10000,0,0,293440,0,0
Reunion,7904,43807528,0,0,0,0,0,0,0,0,0,0,0,0,141306,0,0,0,0,0,0,0,0,0,0,43176494,0,81902,2290,0,0,4000,0,4179,13381,91984,0,0,0,0,64680,2619,172973,0,19611,32109,0,0
Monaco,4272,39615025,0,0,0,27544,0,0,0,0,0,11424,0,0,0,0,0,0,0,0,0,0,0,0,0,261699,0,91328,524914,9069,0,7743,0,28658975,0,154182,165550,10868,0,22960,1049377,979808,1374706,214066,8865,6041947,0,0
Malawi,7970,39569010,0,0,0,4901025,0,0,0,10004736,0,0,0,0,0,0,0,0,5687,0,0,132608,0,0,8212760,36946,15918773,45000,1562,6632,135654,4750,0,2400,0,26743,0,0,0,0,11873,64055,14008,0,0,43798,0,0
Barbados,2720,39529682,0,0,0,0,0,0,0,367075,20000,273788,0,0,651101,0,0,0,0,0,0,27748,0,0,0,3073696,21608493,574008,257552,806995,9295,964633,36410,15191,0,13297,39126,85667,1842809,59041,3269432,58344,259248,0,2936,5213797,0,0
Cayman Islands,2440,36514178,0,0,0,88605,0,0,0,32895,0,0,0,0,0,0,0,0,7888,0,0,0,0,0,0,0,22896,5000,750,7326,2284,61489,0,23600,0,7176,3500,1278079,1769255,14929,15048684,17354295,368622,4802,9000,403103,0,0
Uzbekistan,4644,34690465,0,0,0,1602083,0,0,0,1934111,0,523612,0,0,0,0,0,0,0,0,0,278256,53702,0,0,4269302,181341,361493,922422,7415,5000,95588,0,2489499,10297,498474,456352,0,18209810,614162,406526,332582,226879,8189,46349,1157021,0,0
Kosovo,4803,33992066,0,0,0,139554,0,0,0,17455,0,418498,0,0,0,0,0,0,6052,0,0,3064,0,0,0,1153962,500609,1087295,1063344,175771,309447,3143,0,0,0,695704,255547,0,0,8109220,11900,16573,233129,225066,0,19566733,0,0
New Caledonia,6412,33250403,0,0,0,0,0,0,0,0,0,0,0,0,105625,0,0,0,447196,0,0,0,0,0,0,1504229,0,0,29623,10820,0,0,0,253866,19260,64784,3640,29810898,0,34153,78746,132634,312351,335442,2721,104415,0,19260
French Polynesia,6414,32956254,0,0,0,0,0,0,0,179751,0,0,0,0,17820851,0,0,0,0,0,0,13484,0,0,0,1694143,18793,16442,24313,2531,0,6318,0,1421064,0,33978,43989,0,644256,25413,307231,877480,118663,10413,263146,9433995,0,0
Greenland,1010,31746106,0,0,0,0,0,0,0,0,0,0,0,0,199857,0,0,0,0,0,0,0,0,0,0,31155659,0,0,0,2430,0,0,0,76309,0,26711,0,0,0,0,28270,68527,7186,0,5832,175325,0,0
Rwanda,7690,29789274,0,0,11250,53783,0,0,0,18181505,0,0,0,0,0,0,0,0,0,0,0,8098,0,0,0,5214476,45132,110613,412386,1402836,201716,5067,0,44979,4600,2580,0,0,3556204,0,121930,9027,15350,24470,0,363272,0,0
Sierra Leone,7470,27510693,0,0,0,3812,0,0,0,0,0,39000,0,0,2200,0,0,0,13686238,0,0,1452836,4350,0,0,3216978,0,6368,42285,18461,352514,22717,0,199395,0,368073,40412,7380,143170,257172,1067672,1094381,1847589,427100,326882,2883708,0,0
Mongolia,5740,23986284,0,0,0,14627322,0,0,0,5231,0,307650,1391,93480,0,0,0,0,708935,0,0,0,3132,0,0,69947,3248,474664,3567675,58099,259349,7063,0,8632,0,810295,0,0,0,18524,69594,303584,162312,383572,1759000,283585,0,0
Eswatini,7950,22297265,0,0,2004,0,0,0,0,0,0,128611,0,0,0,0,0,0,0,0,0,0,0,0,10256827,4379604,0,147678,3603519,2265,13209,36295,0,1405143,13052,78430,143219,0,0,263157,852755,231826,634137,12427,0,93107,0,0
San Marino,4751,22295265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807366,0,6444,273022,14956,8677,816846,0,28941,0,561926,1269842,0,1132395,1192373,101258,202359,14419924,96228,6350,1356358,0,0
Falkland Islands (Islas Malvinas),3720,22215901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19743512,0,0,0,0,0,0,0,0,0,3262,0,0,0,0,2580,2995,2455270,0,0,8282,0,0
Afghanistan,5310,21819973,0,0,2197,3474585,19862,0,0,1951237,0,2250,0,0,0,0,0,0,134044,0,0,69929,34528,2272,21343,8128039,1173807,4091597,95675,9547,0,33552,0,138151,0,21239,6750,0,0,108909,54226,69880,27860,3728,0,2144766,0,0
Curacao,2777,21349104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194080,0,0,0,0,0,9548021,135816,0,39994,0,27476,4802076,105460,678405,4612839,1122613,20624,2400,59300,0,0
Belarus,4622,19504820,0,0,0,0,0,0,0,0,0,149479,0,52151,0,0,0,0,0,0,0,0,923249,0,29928,6771629,67758,2129723,232308,45379,283120,1529428,2665,933564,6500,460345,15711,6989,568154,3583552,1231255,174502,8750,0,3678,295003,0,0
Marshall Islands,6810,18419624,0,0,0,0,0,0,2400,0,0,0,0,0,10338158,0,0,0,22743,0,0,0,0,0,0,7172278,0,64000,4665,5300,34100,0,0,18641,0,231271,63004,0,0,145349,7140,116427,4000,0,8000,182148,0,0
Kyrgyzstan,4635,16000840,0,0,0,43138,0,0,0,14587,0,280187,0,0,0,0,0,0,0,0,0,5488,0,10000,0,1015181,73076,115173,57005,801917,14291,45511,0,430098,0,58732,0,0,0,1756175,2029572,141875,585404,7153265,3702,1366463,0,0
Saint Kitts and Nevis,2483,14788294,0,0,0,0,0,0,0,0,0,126000,0,0,0,0,0,0,0,0,0,0,0,0,0,136470,803130,0,5784,389,0,42770,0,2036,0,1917,0,0,111163,109230,5730676,6509282,166019,0,0,1043428,0,0
Antigua and Barbuda,2484,13825722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54800,0,0,0,0,0,0,65600,168613,65143,5230,2070,0,215342,0,3581,0,5961,13457,7805,1585351,5243,251356,59578,22191,40055,0,11254346,0,0
Vanuatu,6224,13661742,0,0,0,649978,0,0,0,10922192,0,0,0,0,0,0,0,0,0,0,0,21122,0,0,0,1763670,0,0,1937,2419,27349,0,0,0,0,0,0,0,0,12453,0,15775,0,0,0,244847,0,0
Sudan,7321,13117099,0,0,0,0,0,0,0,0,0,0,0,13114399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2700,0,0
Grenada,2489,12997257,0,0,0,590117,0,0,0,4375,0,0,0,0,7038619,0,0,0,0,0,0,0,0,0,0,3105780,7664,0,5984,11424,0,0,0,2109,0,31848,0,27284,1951778,0,45473,71210,25939,4199,6319,67135,0,0
Montenegro,4804,12621328,0,0,0,24955,0,0,0,0,0,14400,0,0,0,0,0,0,0,0,0,0,0,0,0,41400,4554834,5280,1829,48000,214788,85467,0,315156,0,125280,15544,0,0,68163,4044551,518319,1275135,805912,254592,207723,0,0
Turkmenistan,4643,11461914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9251,6902,521,0,0,0,10023566,0,29561,0,0,0,0,117038,156832,182224,0,0,936019,0,0
Syria (Syrian Arab Republic),5020,9896773,0,0,0,2875,5962,0,0,1715008,0,0,0,0,0,0,0,0,0,0,0,171789,66251,0,0,2669696,0,11853,15292,1148,25827,23293,0,16823,0,8470,1013090,0,0,46203,55882,7668,124200,0,2300,3913143,0,0
Saint Helena,7580,9741350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8554977,0,2979,0,0,0,0,0,38889,0,4804,0,0,0,0,848991,134695,45142,0,57756,53117,0,0
Yemen (Republic of Yemen),5210,8732058,0,0,0,5400,0,0,0,2787144,0,100371,0,0,0,0,0,0,54195,0,0,79892,242739,0,0,3019226,565403,105903,24891,2950,7182,2600,0,57319,0,5167,29754,0,0,73730,4015,29384,14749,215021,0,1305023,0,0
Seychelles,7800,7148556,0,0,0,0,0,0,0,0,0,0,0,0,3381058,0,0,0,0,0,0,0,0,0,0,0,0,24254,11244,52863,18506,0,0,187301,0,199915,124770,0,40504,27398,1577622,55599,473046,107780,91840,774856,0,0
Iran,5070,6200498,0,0,0,26356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116112,1561,0,0,0,356716,0,5729,0,504,0,0,0,0,0,0,0,0,0,4693520,0,0
Saint Vincent and the Grenadines,2488,5966011,0,0,0,12782,0,0,0,0,0,0,0,0,116515,0,0,0,0,0,0,0,0,0,0,1900166,70799,0,2075,671,0,5000,0,0,0,15147,0,18604,3054875,0,7037,58735,47395,12496,0,643714,0,0
Timor-Leste,5601,5834738,0,0,0,0,0,0,0,3656774,0,0,0,0,0,0,0,0,0,0,0,171600,0,0,0,932055,0,0,781,0,0,0,0,0,0,496597,0,0,0,100800,295292,160028,15026,0,0,5785,0,0
West Bank administered by Israel,5083,5585929,0,0,0,2058982,0,0,0,413329,0,0,0,3320,0,0,0,0,0,0,0,1301865,49500,0,0,799878,124056,0,0,149784,54000,0,0,376575,0,0,41594,0,0,0,0,0,0,14241,0,198805,0,0
Guinea,7460,5584979,0,0,9900,251054,0,0,0,10826,0,12185,0,0,24000,0,0,0,163917,0,0,176237,0,0,0,321672,1061038,11364,23450,8523,0,25026,0,2557,0,2033257,0,0,75178,257225,94437,73871,88118,639826,3542,217776,0,0
Samoa (Western Samoa),6150,5516357,0,0,0,269490,0,0,0,45402,0,0,0,0,0,0,0,0,0,0,0,3633378,0,0,0,146567,0,0,13753,1026,5400,46502,0,0,0,147090,0,0,6097,10401,4552,0,5065,0,22911,1158723,0,0
Saint Lucia,2487,5159211,0,0,0,3216,0,0,0,53343,0,4560,0,497224,915253,0,0,0,0,0,0,0,0,0,0,521519,525697,0,2000,0,0,0,4500,0,4721,2534,0,17300,1929312,0,44693,147992,0,0,349591,135756,0,0
Montserrat,2485,5092051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95538,0,0,0,0,0,0,0,0,7774,0,2916,0,0,0,4851,0,48602,0,0,0,93514,3301039,1015174,386011,63081,0,73551,0,0
Turks and Caicos Islands,2430,4993683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3254035,0,0,1982,1193,0,0,0,0,0,56644,5732,232700,243823,18903,171323,107901,641341,147075,7300,103731,0,0
Cuba,2390,4835751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9095,0,0,0,0,0,0,0,0,0,4826656,0,0
Mali,7450,4808065,0,0,5100,349927,0,0,0,0,0,4800,0,2593559,0,0,0,0,0,0,0,15032,0,0,0,96080,0,22609,39246,16690,3000,106432,0,93028,0,28621,0,0,0,0,255303,208425,248332,173967,0,547914,0,0
Niger,7510,4417602,0,0,0,0,0,0,0,782232,0,0,0,0,0,0,0,0,67851,0,0,0,0,0,0,0,0,0,3563,11065,8139,16507,0,146960,20846,38794,8051,0,0,79441,326744,508561,1803768,3000,335942,256138,0,30846
Tajikistan,4642,4348677,0,0,0,0,0,0,0,2064,0,71285,0,0,0,0,0,0,0,0,0,0,0,0,0,126846,0,0,1535,0,12206,13160,0,28748,0,3500,0,0,3443140,0,83340,70652,0,29800,0,462401,0,0
Burkina Faso,7600,4347200,0,0,0,3722478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100866,0,0,0,5634,0,5525,9616,1410,0,5507,0,17867,0,2164,3520,0,0,11556,32348,9592,55927,249390,0,113800,0,0
Niue,6144,4243989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15541,645,0,0,0,0,0,0,20887,2736222,0,2140,46107,0,38668,4871,0,0,1378908,0,0
Maldives,5683,3870003,0,0,0,0,0,0,0,0,0,0,0,0,1587388,0,0,0,0,0,0,0,0,0,0,1992646,0,3041,10936,0,0,0,0,21479,0,2394,0,0,0,3000,43245,0,7700,193406,0,4768,0,0
Cabo Verde,7643,3765353,0,0,0,0,0,0,0,0,0,0,0,0,2052,0,0,0,0,0,0,0,0,0,0,2592632,595803,0,432,280,15782,0,0,0,0,5094,9316,0,0,32873,12312,24673,419307,0,0,54797,0,0
Burundi,7670,3721138,0,0,0,0,0,0,0,3324287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32380,0,266,338246,0,0,16232,0,3750,0,0,0,0,0,0,0,0,2477,0,0,3500,0,0
Andorra,4271,3292795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2912,0,511,0,1425,0,225003,0,584,0,17850,0,0,11165,184945,1703345,47334,29583,3723,24995,1039420,0,0
Bhutan,5682,3198524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4200,17649,1600,982,28686,0,6085,0,0,0,3872,2595,3016304,0,2040,0,300,0,0,0,114211,0,0
Bermuda,2320,2895982,0,0,0,0,0,0,0,0,15000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671113,26170,0,0,6000,0,335000,143389,2508,65636,5645,0,494879,34993,362301,88262,318693,14044,30000,279349,0,0
Mauritania,7410,2670634,0,0,0,14040,0,0,0,0,0,0,0,0,13923,0,0,0,0,0,0,0,0,0,0,849011,0,0,163596,15910,0,704533,0,4776,10980,3847,4168,0,0,0,48295,103335,4255,0,500000,229965,0,0
Sint Maarten,2774,2550464,0,0,0,0,0,0,0,0,0,62360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72485,3275,2922,2080,0,0,0,0,0,35371,0,46020,1220122,21847,131568,648353,20700,8213,35000,240148,0,0
Aruba,2779,2508573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,789,6097,4000,18088,0,1121496,0,21600,47460,0,659239,21183,331931,24655,63442,44992,4300,139001,0,0
Somalia,7700,2422635,0,0,0,19605,0,0,0,0,0,0,0,486317,0,0,0,0,0,0,0,189075,0,0,0,0,0,18345,2368,0,0,2900,0,52166,0,19049,100979,0,3197,17498,51785,289922,273601,481225,0,414603,0,0
Tonga,6864,2361178,0,0,0,94430,0,0,0,195917,0,0,0,3048,595548,0,0,0,0,0,0,0,0,0,0,35008,0,23388,23410,2868,3440,149280,0,0,0,426572,29832,0,0,56557,86729,214152,152787,0,0,268212,0,0
Nauru,6862,2201715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627,130972,7313,0,0,0,119872,0,106666,67765,0,0,437912,78290,26495,164571,13583,11585,1036064,0,0
"Micronesia, Federated States of",6820,1929983,0,0,0,47125,0,0,0,0,0,0,0,0,140369,0,0,0,0,0,0,0,0,0,0,44098,0,77202,18539,8909,9867,8343,0,71315,10674,146669,34176,0,10000,42396,49534,132866,6608,0,0,1071293,0,0
Gambia,7500,1911973,0,0,18555,18294,0,0,0,10643,0,4050,0,0,0,0,0,0,972134,0,0,82076,0,0,0,581103,0,263,2323,0,0,2222,0,69920,0,425,0,0,30000,9217,98779,5000,4469,0,0,2500,0,0
French Guiana,3170,1788314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1535137,0,0,613,0,0,0,0,6043,0,0,0,0,0,190079,13414,7540,29650,0,2973,2865,0,0
Guadeloupe,2831,1780919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60208,3516,41638,47245,0,50088,0,2823,0,6872,6340,0,405158,67185,276955,18220,133977,6976,357429,296289,0,0
Comoros,7890,1736043,0,0,0,0,0,0,0,1317196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67334,0,71730,1246,0,0,0,0,193105,61962,2308,7728,0,0,5034,0,0,0,0,0,8400,0,0
Mayotte,7881,1705897,0,0,0,197035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87150,12234,0,129065,0,0,5731,0,0,12468,70113,10325,7997,0,17771,0,575583,424918,2561,0,152946,0,0
Djibouti,7770,1622746,0,0,27510,0,0,0,0,501167,0,0,0,0,156778,0,0,0,0,0,0,0,0,0,0,340221,0,0,54071,0,0,0,0,0,0,1385,0,0,0,17623,328429,109859,44168,0,3218,38317,0,0
Christmas Island (in the Indian Ocean),6024,1554974,0,0,0,0,0,0,0,0,19835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1760,1287,0,10461,0,0,0,0,0,0,12870,184033,872527,75237,298524,0,52365,26075,0,0
Dominica,2486,1526687,0,0,0,39685,0,0,0,0,0,0,0,0,4973,0,0,0,0,0,0,0,0,0,0,97203,15120,0,24957,350,0,0,0,301261,0,3744,0,0,489439,0,4378,97726,23448,0,0,424403,0,0
Palau,6830,1416696,0,0,0,0,0,0,0,0,0,0,0,0,459146,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,190494,0,761308,5348,0,0
Martinique,2839,1294847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896085,0,252,4002,0,12088,0,12424,0,90191,0,0,53990,0,12588,0,11022,0,0,202205,0,0
Central African Republic,7540,1294756,0,0,0,0,0,0,0,0,0,0,0,0,3804,0,0,0,63289,0,0,0,0,0,0,0,0,0,8096,0,401831,0,0,111467,0,0,3794,0,220000,9026,2209,0,113852,159246,0,198142,0,0
Solomon Islands,6223,1179930,0,0,0,3600,0,0,0,470713,0,118356,0,0,185808,0,0,0,0,0,0,0,0,0,0,78138,0,0,0,5817,8353,0,0,119544,0,6041,0,0,0,0,0,6823,0,3074,0,173663,0,0
Anguilla,2481,919678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235930,2056,535,164637,0,0,0,53405,0,68858,55328,5598,142204,0,0,58044,3666,0,108000,21417,0,0
South Sudan,7323,799325,0,0,0,0,0,0,0,0,0,0,0,583600,0,0,0,0,0,0,0,0,0,0,0,0,9614,0,0,2624,0,38161,0,0,0,0,0,0,0,0,0,0,17747,0,0,147579,0,0
Kiribati,6226,736703,0,0,0,0,0,0,0,0,0,0,0,0,624181,0,0,0,0,0,0,0,0,0,0,40610,0,21160,410,0,0,0,0,0,0,0,0,0,0,0,0,29478,4013,0,0,16851,0,0
Eritrea,7741,703039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134386,0,31349,814,0,5219,0,32733,0,264,0,0,0,110538,0,0,370438,8343,2800,6155,0,0
Cocos (Keeling) Islands,6023,641358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9349,18714,275,0,63365,0,45202,0,1433,0,0,19083,3925,188624,63696,35582,170786,0,21324,0,0
Sao Tome and Principe,7644,520976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72368,0,0,0,0,0,4323,2145,0,0,9447,35381,0,0,10537,155325,48552,23844,7195,151859,0,0,0
British Indian Ocean Territory,7810,456040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110377,0,0,0,680,0,14422,0,0,0,1323,0,0,0,8503,267647,4920,2204,7569,2876,35519,0,0
Cook Islands,6142,251835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15739,0,0,8808,0,0,0,800,2655,0,0,3002,53933,52323,25057,0,0,89518,0,0
Gibraltar,4720,212107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3343,700,10190,0,2656,0,0,0,0,0,0,0,0,0,26330,0,18285,145268,5335,0,0
Tuvalu,6227,204550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2433,0,788,0,0,0,0,0,0,0,0,0,43670,9045,0,5456,0,0,143158,0,0
Holy See (Vatican City),4752,150121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24557,0,0,0,0,0,0,0,0,125564,0,0
Guinea-Bissau,7642,112164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21541,5700,5340,0,0,0,0,0,0,0,0,0,0,76797,0,2786,0,0,0,0,0
Gaza Strip administered by Israel,5082,42673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21682,0,9253,0,0,0,0,11738,0,0
Svalbard and Jan Mayen,4031,40588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9616,0,25130,2307,3535,0,0,0
French Southern and Antarctic Lands,7905,24566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,907,0,0,0,0,0,0,1318,0,0,0,4339,3663,0,2339,0,0,12000,0,0
Wallis and Futuna,6413,23491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23491,0,0,0,0,0,0,0,0
Tokelau,6143,8869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5470,0,0,0,0,3399,0,0,0,0,0,0,0
Pitcairn Islands,6225,5787,0,0,0,0,0,0,0,5787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon,1610,5464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,2964,0,0,0,0,0,0
North Korea (Democratic People's Republic of Korea),5790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
