country_name,cty_code,total_imports,pdr (Paddy Rice),wht (Wheat),gro (Cereal Grains Nec),"v_f (Vegetables, Fruit, Nuts)",osd (Oil Seeds),"c_b (Sugar Cane, Sugar Beet)",pfb (Plant-Based Fibers),ocr (Crops Nec),"ctl (Bovine Cattle, Sheep And Goats, Horses)",oap (Animal Products Nec),"wol (Wool, Silk-Worm Cocoons)",frs (Forestry),fsh (Fishing),coa (Coal),oil (Oil),gas (Gas),oxt (Other Mining And Extraction),cmt (Bovine Meat Products),omt (Meat Products Nec),vol (Vegetable Oils And Fats),mil (Dairy Products),pcr (Processed Rice),sgr (Sugar),ofd (Food Products Nec),b_t (Beverages And Tobacco Products),tex (Textiles),wap (Wearing Apparel),lea (Leather Products),lum (Wood Products),"ppp (Paper Products, Publishing)","p_c (Petroleum, Coal Products)",chm (Chemical Products),bph (Basic Pharmaceutical Products),rpp (Rubber And Plastic Products),nmm (Mineral Products Nec),i_s (Ferrous Metals),nfm (Metals Nec),fmp (Metal Products),"ele (Computer, Electronic And Optical Products)",eeq (Electrical Equipment),ome (Machinery And Equipment Nec),mvh (Motor Vehicles And Parts),otn (Transport Equipment Nec),omf (Manufactures Nec),ely (Electricity),s232_pharma_imports (131 HS codes)
Kazakhstan,4634,2290144255,0,0,10783,0,3810283,0,1099,40468,0,71285,0,0,0,0,994787998,0,15829974,0,0,0,0,61187,0,13381781,0,283504,49745,174310,2729365,378763,278020672,366068426,0,1773885,455799,197970274,244041900,347934,5133089,1306788,589698,2144610,1297518,159383117,0,0
Greece,4840,2142209501,0,0,0,36802606,165099,0,0,16348069,0,3294734,0,3496068,35700283,3803,0,0,30057148,0,0,85136730,84401466,266967,0,567704543,34673912,18711046,15480400,5212493,2525674,17977299,75772403,105453586,54025171,56313313,141887801,54751997,213059602,153115766,91663665,113482346,24895894,3137938,34082916,62608763,0,363385
El Salvador,2110,2109247904,0,0,99533,8209399,156530,0,0,73642275,0,2193255,0,732059,1714410,0,0,0,0,0,0,874182,4884364,103153,148332883,125403977,30921476,55323781,1334754580,17651314,1083226,13944010,1279381,7331984,17238973,25560580,38034264,915728,24154155,10610151,33992900,85919574,13210178,216072,9745228,21014329,0,12590540
Lithuania,4510,1986916663,0,0,132859,9684,11211043,0,0,63950,23000,619012,0,58038,39508,0,0,0,2736885,0,167389,550355,14753520,0,0,51670427,2391989,12231998,13577236,173440,28867073,11697884,535896583,544300139,45440014,73362022,6500525,67801,734150,85492285,177454696,67129136,42640017,6344353,3779044,246800608,0,33004772
Angola,7620,1662167957,0,0,0,0,0,0,0,69550,0,0,0,0,0,0,989096704,0,19273471,0,0,0,0,0,0,60349,0,0,900,0,203279,3619,381744376,216663762,0,0,38522,11612661,0,3435168,0,0,0,82549,0,39883047,0,0
Kuwait,5130,1660419456,0,0,0,0,0,0,0,25645,0,156340,0,0,0,0,610463065,0,2238946,0,0,0,920246,0,0,70811,248551,1098,58014,12759,0,55280,987216053,44463136,0,192718,0,3024535,9370688,11867,1417525,14320,286713,12511,3500,155135,0,0
Morocco,7140,1655552695,0,6400,0,163425767,0,0,0,7404015,0,933853,588,290778,2621411,0,0,0,45746280,0,0,42000829,6773119,0,31454,173098859,364701,16399072,262871216,11748907,1661074,3368569,58433,104917387,13039,12002726,43515752,54612,3320032,5064863,247206541,159576197,22677716,143047523,164509138,10841844,0,0
Qatar,5180,1425224707,0,0,0,0,0,0,0,12400,0,0,0,0,1410000,0,3000,0,0,0,0,0,0,0,0,0,0,285947,24046,10299,0,58035,888543759,382829203,20004,766237,7672,99372,136592183,5789227,681808,514767,2162920,110064,59410,5244354,0,20004
Bulgaria,4870,1424998236,0,0,0,4335824,55952004,0,0,13557965,16983,1301634,0,202035,12600,0,0,0,631645,0,0,939367,16217575,110258,14922,53144171,6223845,8343046,79527679,2923690,1865114,5740475,88493990,64408008,71973204,23798090,25119107,66347342,120853136,37219616,169783415,111356243,160524229,9926657,23121093,201013274,0,67593544
Ghana,7490,1233901564,0,0,140980,23668461,13558860,0,0,125117712,0,118122,0,20182,40867,0,721598284,0,60041,0,0,12456123,23045,0,0,98162613,327550,1041509,39707880,151895,16714838,50621,90566713,15599991,231168,28652527,525493,0,33328934,21716,113692,34671,264438,437195,0,11165443,0,60000
Oman,5230,1200478014,0,0,0,59336,0,0,0,67450,0,0,0,10791,284521,0,0,0,0,0,0,393554,583256,0,0,9029587,204886,30985,16090,2494,0,83018,39592450,182545737,117033,311957935,8454914,76512223,235535777,86128775,325974,10369461,7043948,4408913,8507963,218210943,0,117033
Uruguay,3550,1199549930,0,0,0,39920407,9043423,0,0,887759,293263,24953014,3468,21341,0,0,0,0,1669372,566334733,72960642,81547397,4120448,2717883,0,22415013,2123138,2833041,1897182,4096875,87468308,189558838,76630,17939273,2302353,579631,297038,0,10242011,393219,17986692,4537671,2928319,161018,1682818,25557712,0,1060359
Ukraine,4623,1135611419,0,0,143961,99892,4300262,0,0,720175,0,25965569,909741,104396,87302,0,0,0,31006934,0,0,71511533,11154585,26380,13128,85195504,5180932,32730033,23079167,2814839,13140999,5313574,1717366,68458469,6444857,21097746,2913019,533443615,384257,26412602,37630816,42454859,15832873,4751864,26177308,34392862,0,675001
